GENE	RNAseH-Rep1	RNAseH-Rep2	RNAseH-Rep3	PolyA-Rep3	RZ-Rep1	RZ-Rep2	RZ-Rep3
FBgn0003187		94.7431	94.4297	90.0206	95.9102	99.3624	107.518	110.51
FBgn0003189		73.1324	68.3727	70.9232	44.651	54.8727	58.9806	58.1863
FBgn0043825		0.0580882	0	0	0	0	0	0
FBgn0011509		81.3301	78.4781	78.0219	89.7407	71.5995	76.119	78.8056
FBgn0033301		1.26129	0.321225	0.970897	1.12323	1.27878	0.723643	1.7188
FBgn0033302		6.70683	9.68865	7.99672	3.77961	6.63496	6.85814	6.65212
FBgn0033304		7.02078	7.35802	6.27268	8.45634	5.61257	5.91168	5.46055
FBgn0033307		0	0	0	0	0	0	0
FBgn0033308		0.259653	0	0.133248	0	0.105302	0.297943	0
FBgn0033309		69.438	70.1403	70.1981	86.5371	70.8793	69.6746	73.1652
FBgn0030290		0	0.13662	0.412933	0.191089	0.217552	0.205182	0.243674
FBgn0051230		0	1.03335	1.0411	0.481778	0.548497	0.775966	0.307179
FBgn0039395		0	0	0	0	0	0.0432348	0
FBgn0030291		49.3831	52.1753	53.4446	72.9768	49.2747	54.7952	50.7495
FBgn0051231		0.0717114	0	0.184003	0	0.0581647	0.0548576	0.0651489
FBgn0039396		0	0.107031	0.107833	0.112277	0.106521	0.0803719	0.0238624
FBgn0030292		164.24	124.745	131.923	112.865	86.0205	101.362	81.4527
FBgn0030293		117.419	118.84	122.874	100.7	64.9796	71.8466	71.5963
FBgn0026777		258.691	309.073	275.266	385.322	297.462	323.918	317.164
FBgn0051233		0.213268	0.43452	0.355694	0.341863	0.129735	0.163145	0.242189
FBgn0039398		0	0	0	0	0	0	0
FBgn0030294		58.9401	71.791	60.3356	71.0558	58.4063	65.2009	65.9318
FBgn0026778		15.2481	14.314	13.573	18.437	17.7076	18.5323	17.9696
FBgn0051235		0	0.0546622	0	0	0	0	0
FBgn0030296		0.0531124	0.0541065	0	0	0	0	0
FBgn0030297		0	0	0	0	0	0.0532763	0
FBgn0030298		0.0279412	0.0142321	0.0143388	0.00995313	0	0.0213744	0
FBgn0035960		11.5153	12.2027	11.3433	15.2761	11.1113	13.9727	11.1228
FBgn0034180		23.1866	22.5069	22.6092	23.8137	17.7593	20.7443	18.9257
FBgn0034181		134.026	134.984	142.348	165.831	77.5084	85.107	79.8017
